model,horizon,fold,macro_f1,accuracy
logistic,1,7,0.403056,0.503551
logistic,1,8,0.41607,0.506785
logistic,1,9,0.420501,0.542662
lstm,1,7,0.746477,0.836924
lstm,1,8,0.757694,0.831237
lstm,1,9,0.755901,0.818205
mlp,1,7,0.460881,0.572533
mlp,1,8,0.482247,0.579372
mlp,1,9,0.477732,0.600432
random_forest,1,7,0.538209,0.711688
random_forest,1,8,0.537837,0.693437
random_forest,1,9,0.518847,0.656386
ridge,1,7,0.404173,0.510401
ridge,1,8,0.417,0.510906
ridge,1,9,0.419116,0.54476
xgboost,1,7,0.545413,0.683586
xgboost,1,8,0.569996,0.69361
xgboost,1,9,0.541648,0.643235
logistic,5,7,0.44194,0.468276
logistic,5,8,0.446845,0.467147
logistic,5,9,0.426183,0.463725
lstm,5,7,0.769567,0.79606
lstm,5,8,0.782226,0.799896
lstm,5,9,0.797578,0.804228
mlp,5,7,0.487636,0.51269
mlp,5,8,0.505193,0.524592
mlp,5,9,0.478924,0.4982
random_forest,5,7,0.556241,0.592613
random_forest,5,8,0.573318,0.621387
random_forest,5,9,0.527772,0.552337
ridge,5,7,0.438058,0.463769
ridge,5,8,0.44782,0.469256
ridge,5,9,0.426034,0.465322
xgboost,5,7,0.554556,0.575778
xgboost,5,8,0.594559,0.632964
xgboost,5,9,0.551462,0.573629
logistic,10,7,0.441424,0.446501
logistic,10,8,0.438842,0.440332
logistic,10,9,0.408939,0.416883
lstm,10,7,0.681126,0.683454
lstm,10,8,0.713476,0.713326
lstm,10,9,0.729441,0.727087
mlp,10,7,0.477704,0.488212
mlp,10,8,0.484757,0.486545
mlp,10,9,0.443248,0.447318
random_forest,10,7,0.403455,0.424168
random_forest,10,8,0.468879,0.495074
random_forest,10,9,0.433984,0.453299
ridge,10,7,0.432325,0.434461
ridge,10,8,0.435318,0.435885
ridge,10,9,0.408154,0.416038
xgboost,10,7,0.508455,0.50849
xgboost,10,8,0.546911,0.551349
xgboost,10,9,0.495226,0.495757
