horizon,fold,class,precision,recall,f1,cm_true_up_pred_up,cm_true_up_pred_stationary,cm_true_up_pred_down,cm_true_stationary_pred_up,cm_true_stationary_pred_stationary,cm_true_stationary_pred_down,cm_true_down_pred_up,cm_true_down_pred_stationary,cm_true_down_pred_down
1,7,Up,0.628217,0.72293,0.672254,5615,1110,1042,2426,35444,2714,897,842,5289
1,7,Stationary,0.947802,0.873349,0.909054,5615,1110,1042,2426,35444,2714,897,842,5289
1,7,Down,0.584743,0.752561,0.658122,5615,1110,1042,2426,35444,2714,897,842,5289
1,8,Up,0.617778,0.765848,0.68389,5956,904,917,2680,31614,2345,1005,937,5715
1,8,Stationary,0.944971,0.862851,0.902046,5956,904,917,2680,31614,2345,1005,937,5715
1,8,Down,0.636627,0.746376,0.687147,5956,904,917,2680,31614,2345,1005,937,5715
1,9,Up,0.673044,0.721416,0.696391,3975,737,798,1375,18168,1768,556,554,3907
1,9,Stationary,0.933655,0.852517,0.891244,3975,737,798,1375,18168,1768,556,554,3907
1,9,Down,0.603584,0.778752,0.68007,3975,737,798,1375,18168,1768,556,554,3907
5,7,Up,0.7254,0.732366,0.728867,10601,1695,2179,2108,24372,1938,1905,1469,9112
5,7,Stationary,0.885096,0.857625,0.871144,10601,1695,2179,2108,24372,1938,1905,1469,9112
5,7,Down,0.68879,0.729777,0.708691,10601,1695,2179,2108,24372,1938,1905,1469,9112
5,8,Up,0.732736,0.75158,0.742038,10462,1484,1974,1715,21182,1709,2101,1437,10009
5,8,Stationary,0.878812,0.860847,0.869737,10462,1484,1974,1715,21182,1709,2101,1437,10009
5,8,Down,0.731011,0.738835,0.734902,10462,1484,1974,1715,21182,1709,2101,1437,10009
5,9,Up,0.793959,0.757176,0.775131,7518,1068,1343,816,11125,1004,1135,867,6962
5,9,Stationary,0.851838,0.859405,0.855605,7518,1068,1343,816,11125,1004,1135,867,6962
5,9,Down,0.747878,0.776662,0.761999,7518,1068,1343,816,11125,1004,1135,867,6962
10,7,Up,0.646376,0.679797,0.662666,12477,2309,3568,3781,14643,3030,3045,1797,10729
10,7,Stationary,0.781002,0.68253,0.728453,12477,2309,3568,3781,14643,3030,3045,1797,10729
10,7,Down,0.619207,0.689037,0.652258,12477,2309,3568,3781,14643,3030,3045,1797,10729
10,8,Up,0.675842,0.712028,0.693463,12301,1842,3133,2387,13076,2373,3513,1680,11768
10,8,Stationary,0.787806,0.733124,0.759482,12301,1842,3133,2387,13076,2373,3513,1680,11768
10,8,Down,0.681255,0.693827,0.687484,12301,1842,3133,2387,13076,2373,3513,1680,11768
10,9,Up,0.756487,0.676034,0.714001,8251,1442,2512,798,6926,1009,1858,1070,7972
10,9,Stationary,0.733842,0.793084,0.762314,8251,1442,2512,798,6926,1009,1858,1070,7972
10,9,Down,0.69364,0.731376,0.712008,8251,1442,2512,798,6926,1009,1858,1070,7972
