horizon,comparison,fold,left_model,right_model,left_macro_f1,right_macro_f1,macro_f1_difference,winner
1,lstm_minus_xgboost,7,lstm,xgboost,0.746477,0.545413,0.201064,lstm
1,lstm_minus_xgboost,8,lstm,xgboost,0.757694,0.569996,0.187698,lstm
1,lstm_minus_xgboost,9,lstm,xgboost,0.755901,0.541648,0.214253,lstm
1,xgboost_minus_random_forest,7,xgboost,random_forest,0.545413,0.538209,0.007204,xgboost
1,xgboost_minus_random_forest,8,xgboost,random_forest,0.569996,0.537837,0.032159,xgboost
1,xgboost_minus_random_forest,9,xgboost,random_forest,0.541648,0.518847,0.022801,xgboost
1,mlp_minus_logistic,7,mlp,logistic,0.460881,0.403056,0.057825,mlp
1,mlp_minus_logistic,8,mlp,logistic,0.482247,0.41607,0.066177,mlp
1,mlp_minus_logistic,9,mlp,logistic,0.477732,0.420501,0.057231,mlp
5,lstm_minus_xgboost,7,lstm,xgboost,0.769567,0.554556,0.215011,lstm
5,lstm_minus_xgboost,8,lstm,xgboost,0.782226,0.594559,0.187667,lstm
5,lstm_minus_xgboost,9,lstm,xgboost,0.797578,0.551462,0.246116,lstm
5,xgboost_minus_random_forest,7,xgboost,random_forest,0.554556,0.556241,-0.001685,random_forest
5,xgboost_minus_random_forest,8,xgboost,random_forest,0.594559,0.573318,0.021241,xgboost
5,xgboost_minus_random_forest,9,xgboost,random_forest,0.551462,0.527772,0.02369,xgboost
5,mlp_minus_logistic,7,mlp,logistic,0.487636,0.44194,0.045696,mlp
5,mlp_minus_logistic,8,mlp,logistic,0.505193,0.446845,0.058348,mlp
5,mlp_minus_logistic,9,mlp,logistic,0.478924,0.426183,0.052741,mlp
10,lstm_minus_xgboost,7,lstm,xgboost,0.681126,0.508455,0.172671,lstm
10,lstm_minus_xgboost,8,lstm,xgboost,0.713476,0.546911,0.166565,lstm
10,lstm_minus_xgboost,9,lstm,xgboost,0.729441,0.495226,0.234215,lstm
10,xgboost_minus_random_forest,7,xgboost,random_forest,0.508455,0.403455,0.105,xgboost
10,xgboost_minus_random_forest,8,xgboost,random_forest,0.546911,0.468879,0.078032,xgboost
10,xgboost_minus_random_forest,9,xgboost,random_forest,0.495226,0.433984,0.061242,xgboost
10,mlp_minus_logistic,7,mlp,logistic,0.477704,0.441424,0.03628,mlp
10,mlp_minus_logistic,8,mlp,logistic,0.484757,0.438842,0.045915,mlp
10,mlp_minus_logistic,9,mlp,logistic,0.443248,0.408939,0.034309,mlp
