model,fold,accuracy,f1_macro,f1_up,f1_stat,f1_down,precision,recall
Ridge Regression,7,0.4638,0.4381,0.3595,0.5614,0.3933,0.4429,0.4495
Ridge Regression,8,0.4693,0.4478,0.3724,0.5661,0.4049,0.4476,0.4502
Ridge Regression,9,0.4653,0.426,0.3078,0.5921,0.3782,0.4423,0.4364
Logistic Regression,7,0.4683,0.4419,0.3629,0.5677,0.3953,0.4469,0.4532
Logistic Regression,8,0.4703,0.4496,0.3739,0.5667,0.408,0.4494,0.4522
Logistic Regression,9,0.4647,0.4265,0.3109,0.5914,0.3773,0.4414,0.4362
MLP,7,0.5298,0.4956,0.4169,0.6402,0.4298,0.4961,0.5016
MLP,8,0.5094,0.4927,0.4462,0.5974,0.4346,0.4929,0.4972
MLP,9,0.5,0.4725,0.3454,0.6068,0.4654,0.4885,0.4827
Random Forest,7,0.5926,0.5562,0.4989,0.7012,0.4687,0.5548,0.5595
Random Forest,8,0.6214,0.5733,0.489,0.7424,0.4886,0.5905,0.5685
Random Forest,9,0.5523,0.5278,0.4708,0.6547,0.4578,0.54,0.5287
XGBoost,7,0.5758,0.5546,0.5057,0.6677,0.4903,0.5545,0.569
XGBoost,8,0.633,0.5946,0.5187,0.7446,0.5203,0.6036,0.5904
XGBoost,9,0.5697,0.5421,0.4619,0.6785,0.4859,0.5579,0.5445
LSTM,7,0.7704,0.7437,0.702,0.85,0.679,0.7391,0.7497
LSTM,8,0.792,0.7732,0.7254,0.866,0.7283,0.7721,0.7746
LSTM,9,0.7842,0.7768,0.7489,0.8402,0.7412,0.7781,0.7769
